country_iso3,country,date,year,week_id,latitude,longitude,sine_seasonality,cosine_seasonality,temperature,relative_humidity,population,population_density,age_65_and_above,socioeconomic_development,government_effectiveness,individualism,uncertainty_avoidance,all_cause_mortality,covid_19_prevalence,covid_19_incidence,covid_19_mortality,covid_19_prevalence_original,covid_19_incidence_original,covid_19_mortality_original,covid_19_vaccine_doses_administered_cumulative,covid_19_vaccine_doses_administered,covid_19_policy_stringency,covid_19_face_covering_policy,covid_19_testing_tracing_policy,covid_19_variant_delta,covid_19_variant_omicron,S,influenza_like_illness_prevalence
IRN,Iran,2021-03-21,2021,55,32.0,53.0,0.9350162426854148,0.35460488704253557,11.470833333333333,49.442857142857136,88319988.95205478,54.43450782869324,7.366878323197902,0.5756599620493359,0.00776149904505985,0.41,0.59,11.412051301830578,0.17887113632998675,0.14441268811918823,0.11835085100632589,0.00817251556257265,4141.686334700328,1.001204626642971,0.0019601140359514547,0.0007691826823697256,0.8194,0.75,0.2222222222222222,0.0,0.0,0.8954963690863661,0.0
IRN,Iran,2021-03-28,2021,56,32.0,53.0,0.970941817426052,0.23931566428755804,14.811666666666666,38.05357142857143,88338638.7739726,54.44600232602318,7.371258602101674,0.5760340037950666,0.0077551925180116554,0.41,0.59,13.076234258595093,0.20492842318980659,0.1828631275200401,0.11573013056595961,0.010727033110372661,6640.775329086336,0.9573548986623737,0.0037109544726565695,0.0017508404367051148,0.8313142857142857,0.75,0.2222222222222222,0.0,0.0,0.893738370152907,0.0
IRN,Iran,2021-04-04,2021,57,32.0,53.0,0.992708874098054,0.120536680255323,12.356309523809525,37.92857142857143,88357288.5958904,54.4574968233531,7.375638881005447,0.5764080455407972,0.007748885990963406,0.41,0.59,16.611844640609267,0.2619981826181881,0.24755062242586862,0.24369725559927652,0.017533627746918013,12170.111191731683,4.24503577364249,0.0043384687265195536,0.000627514253862984,0.8332999999999999,0.75,0.2222222222222222,0.0,0.0,0.8887329262756324,0.0
IRN,Iran,2021-04-11,2021,58,32.0,53.0,1.0,-1.6081226496766366e-16,17.39428571428571,30.692857142857147,88375938.41780822,54.46899132068303,7.380019159909219,0.5767820872865277,0.007742579463915211,0.41,0.59,17.54653884865817,0.27411554896602824,0.22912855349816863,0.2738650804883026,0.019192986893581905,10426.173020122898,5.361093711349273,0.004965718133880312,0.0006272494073607587,0.8332999999999999,0.75,0.2222222222222222,0.019500000000000003,0.0,0.8770679008521469,0.0
IRN,Iran,2021-04-18,2021,59,32.0,53.0,0.992708874098054,-0.12053668025532288,17.840833333333332,31.247619047619047,88394588.23972602,54.48048581801296,7.384399438812992,0.5771561290322582,0.007736272936866961,0.41,0.59,18.840866227333418,0.26369852905622376,0.202771531329322,0.2934733550452112,0.01776194982088493,8165.456374093976,6.156266781879469,0.006025631326609038,0.0010599131927287253,0.8280142857142856,0.75,0.2222222222222222,0.04225,0.0,0.8697847374410642,0.0
IRN,Iran,2021-04-25,2021,60,32.0,53.0,0.9709418174260521,-0.2393156642875575,21.95678571428571,29.119047619047617,88413238.06164382,54.49198031534288,7.388779717716765,0.577530170777989,0.007729966409818767,0.41,0.59,19.839604474687363,0.24711160269797505,0.18390630686610077,0.3297673640663962,0.015597733620883483,6716.758710441019,7.7731209125940355,0.009082101477158258,0.00305647015054922,0.8148000000000001,0.75,0.2222222222222222,0.16884285714285713,0.0,0.8656684131664271,0.0
IRN,Iran,2021-05-02,2021,61,32.0,53.0,0.9350162426854148,-0.35460488704253545,20.98071428571428,36.71547619047619,88431887.88356164,54.50347481267281,7.393159996620537,0.5779042125237193,0.007723659882770517,0.41,0.59,18.643127250051307,0.22737651844762422,0.16500396029593398,0.31489834585882087,0.013205852706931283,5406.985896489542,7.087953117847194,0.013472312177352744,0.004390210700194486,0.8148000000000001,0.75,0.2222222222222222,0.31274285714285716,0.0,0.8627974513365976,0.0
IRN,Iran,2021-05-09,2021,62,32.0,53.0,0.8854560256532099,-0.4647231720437685,18.01904761904762,53.083333333333336,88450537.70547944,54.51496931000274,7.397540275524309,0.57827825426945,0.007717353355722323,0.41,0.59,17.524010633225174,0.2036968396743404,0.14184222224493773,0.28778586986227295,0.010598485412144339,3995.5590586786975,5.919963249153016,0.018919903825106946,0.005447591647754203,0.8148000000000001,0.75,0.2222222222222222,0.19045714285714282,0.0,0.8598409893121768,0.0
IRN,Iran,2021-05-16,2021,63,32.0,53.0,0.8229838658936565,-0.5680647467311557,20.477857142857143,39.896428571428565,88469187.52739726,54.526463807332675,7.401920554428083,0.5786522960151803,0.007711046828674073,0.41,0.59,17.627836897228327,0.18840646844029152,0.13774063844326034,0.28990264265996624,0.009067067366153,3767.8246600808307,6.007370619582083,0.025422643004741743,0.006502739179634797,0.7354285714285714,0.75,0.2222222222222222,0.023807142857142836,0.0,0.857297045440694,0.0
IRN,Iran,2021-05-23,2021,64,32.0,53.0,0.7485107481711013,-0.663122658240795,25.74452380952381,21.15595238095238,88487837.34931506,54.537958304662595,7.406300833331855,0.5790263377609111,0.007704740301625879,0.41,0.59,17.04643356647706,0.17534462506468732,0.12929445859884045,0.2839889897258986,0.007853443792415291,3319.9101093387912,5.764784580796538,0.034191690122813624,0.00876904711807188,0.7222,0.75,0.2222222222222222,0.0,0.0,0.8538762085706786,0.0
